"height","hsGPA","pulse"
70,3.2,27
62,3.93,64
72,3.84,60
68.5,3.8,72
68,3.85,60
70,3.48,80
70,3.3,60
60,3.8,71
74,3.3,76
68,3.84,80
73,3.3,92
71,3.3,56
69,3.2,70
66,3.75,75
68,3.2,76
66,3.9,80
66,3.6,80
73,2.8,50
63,3.6,60
71,3.98,77
66,3.8,100
69,3.8,60
68,3.5,60
75,3.2,64
66,4,64
68,3.25,160
70.5,4.1,58
68,3.24,64
62,3.8,54
70,3.98,80
68,3.63,78
62,3.6,78
72,3.3,80
66,3.5,72
66.5,3.98,100
62,3.9,80
70,3.8,68
72,4,80
70,3.98,70
67,2.9,68
69,3.3,80
65,4,80
58.5,3.83,78
63,4.04,63
68,3.75,90
72,3.6,55
64,3.967,74
69,3.5,75
71,3.5,100
63,3.86,64
71,3.5,70
72,3.69,72
80,3.2,60
66,4,64
66,3.78,70
67,3.7,78
68,3.89,65
60,3.9,72
68.75,3.98,90
73,3.5,65
66,3.56,60
74,3.3,72
69,3.9,66
72,2.7,87
73,3.7,84
68,4,85
69,3.6,72
64,3.8,48
72,2.75,96
62,3.78,45
64,3.9,48
65.5,3.3,70
56,4.2,50
63,3.98,68
71,3.33,92
65,3.2,72
73,3.3,80
67,3.6,70
72,3.4,78
64,3.99,70
72,3.4,70
69,3.3,68
67,3,80
71,3.5,88
65,3,70
64,3.8,76
75,3.3,70
61,3.985,104
66,4,95
76,3.9,60
67,3.8,100
74,4,72
66,3.8,76
70,3.72,70
73,3.35,80
61,3.8,72
66,3.8,90
65,3.75,60
75,3.97,65
63,3.4,70
65,3.86,80
73,3.9,55
67,3.9,96
64,3.8,52
72,3.78,60
64,4,65
65,3.5,29
69.5,3.3,60
66,3.8,85
68,3.4,64
72,3.85,68
70,3.78,58
65,3.75,69
62,4,126
55,3.8,85
70,3.5,75
68,3.75,76
66,3.67,72
72,2.98,84
66,4,160
65,3.65,72
75,3.5,90
74,3.3,80
74,3,60
71,2.6,70
72,3.85,68
72,3.8,72
69,3.75,79
72,3.5,60
62,4.2,68
64,3.84,80
64,3.76,82
70,4,64
66,3.82,90
64,3.8,80
65,3.98,100
67,3.75,50
64,3.9,76
65,3.89,120
68,3.7,60
60,3.7,72
68,3.6,132
67,3,69
70,3.87,42
67,4.5,56
63,3.8,96
70,3.49,120
74,3.9,60
73,3.5,60
71,3.9,50
70,3.4,70
66.5,3.5,100
66,4,55
60,3.09,77
65,3.65,100
74,3,82
66,3.9,110
70.5,3.2,78
68,3.8,100
67,3.7,65
67,3.7,88
68,3.87,72
63,3.8,90
68,3.5,60
64,3.83,67
72,3.72,76
73,3.67,76
73,3.5,84
69,3.89,60
68,4,70
65,3.7,100
70,3.9,66
65,3.7,96
65,3.8,80
64,3.6,88
68,3.78,72
63,3.942,60
70,4.21,84
69,3.5,72
70,3.46,55
67,3.8,78
64.5,3.4,98
72,3.4,68
65,3.9,65
74,2.7,60
73,3.5,76
71.5,3.5,70
69,3.98,78
68.5,3.6,96
69,3.9,70
60,3.5,72
78,3.83,80
72,3.5,68
69,3.9,74
74,3.8,60
66,3.87,62
74,3.8,90
68,3.6,80
64,3.55,83
71,3.5,70
